lat,lon,borough
51.512715,-0.21142642,Kensington and Chelsea
51.513936,-0.21188303,Kensington and Chelsea
51.515114,-0.21780366,Kensington and Chelsea
51.51595,-0.21809,Kensington and Chelsea
51.515531,-0.20973074,Kensington and Chelsea
51.51513,-0.20854,Kensington and Chelsea
51.515041,-0.20473441,Kensington and Chelsea
51.515313,-0.20375804,Kensington and Chelsea
51.516818,-0.20098921,Kensington and Chelsea
51.517324,-0.20291505,Kensington and Chelsea
51.516492,-0.2067528,Kensington and Chelsea
51.517543,-0.20606294,Kensington and Chelsea
51.517018,-0.21412605,Kensington and Chelsea
51.518062,-0.21121695,Kensington and Chelsea
51.518336,-0.21029818,Kensington and Chelsea
51.5185,-0.20587,Kensington and Chelsea
51.520087,-0.20367113,Kensington and Chelsea
51.519664,-0.20658497,Kensington and Chelsea
51.519249,-0.21121369,Kensington and Chelsea
51.519369,-0.21732046,Kensington and Chelsea
51.520649,-0.21162009,Kensington and Chelsea
51.52117,-0.2096,Kensington and Chelsea
51.521261,-0.20577268,Kensington and Chelsea
51.52319,-0.20683,Kensington and Chelsea
51.524182,-0.20568668,Kensington and Chelsea
51.52205,-0.21093095,Kensington and Chelsea
51.522291,-0.21312699,Kensington and Chelsea
51.524045,-0.2143557,Kensington and Chelsea
51.524468,-0.21025957,Kensington and Chelsea
51.52587,-0.20859,Kensington and Chelsea
51.52636,-0.21461112,Kensington and Chelsea
51.524162,-0.22565273,Kensington and Chelsea
51.522662,-0.22215059,Kensington and Chelsea
51.519767,-0.22161469,Kensington and Chelsea
51.519602,-0.22381201,Kensington and Chelsea
51.521092,-0.22777566,Kensington and Chelsea
51.522131,-0.22632268,Kensington and Chelsea
51.52195,-0.22654,Kensington and Chelsea
51.50367,-0.21594,Kensington and Chelsea
51.4888032,-0.192246,Kensington and Chelsea
51.49368,-0.19687,Kensington and Chelsea
51.49664,-0.19227,Kensington and Chelsea
51.49541731,-0.17356934,Kensington and Chelsea
51.50389778,-0.210436748,Kensington and Chelsea
51.49443,-0.17434,Kensington and Chelsea
51.485854,-0.172769,Kensington and Chelsea
51.5012822,-0.1589722,Kensington and Chelsea
51.5130031,-0.2040186,Kensington and Chelsea
51.5049242,-0.2126849,Kensington and Chelsea
51.4977247,-0.2049508,Kensington and Chelsea
51.5071506,-0.2122541,Kensington and Chelsea
51.5120074,-0.2016159,Kensington and Chelsea
51.5089632,-0.2026463,Kensington and Chelsea
51.4859758,-0.1788035,Kensington and Chelsea
51.4895662,-0.1701215,Kensington and Chelsea
51.485338,-0.1752341,Kensington and Chelsea
51.5086957,-0.1969015,Kensington and Chelsea
51.49266,-0.15723,Kensington and Chelsea
51.492952,-0.157758101,Kensington and Chelsea
51.511279,-0.13033228,City of Westminster
51.496704,-0.13777202,City of Westminster
51.51354,-0.13450571,City of Westminster
51.51165,-0.12142519,City of Westminster
51.514917,-0.13457917,City of Westminster
51.510907,-0.13124102,City of Westminster
51.511389,-0.13042868,City of Westminster
51.515899,-0.18747739,City of Westminster
51.51716,-0.1513078,City of Westminster
51.514064,-0.13410957,City of Westminster
51.509832,-0.13315846,City of Westminster
51.4982,-0.14293,City of Westminster
51.4979,-0.135957,City of Westminster
51.4957,-0.126587,City of Westminster
51.4959,-0.12544,City of Westminster
51.5007,-0.127875,City of Westminster
51.4961,-0.132919,City of Westminster
51.5085,-0.136609,City of Westminster
51.5123,-0.146971,City of Westminster
51.5096,-0.15025,City of Westminster
51.5054,-0.150697,City of Westminster
51.5106,-0.147257,City of Westminster
51.5094,-0.124208,City of Westminster
51.5121,-0.117542,City of Westminster
51.5136,-0.121463,City of Westminster
51.5215,-0.143399,City of Westminster
51.5154,-0.147568,City of Westminster
51.5159,-0.139519,City of Westminster
51.493664,-0.1332284,City of Westminster
51.514277,-0.16815724,City of Westminster
51.515842,-0.16646579,City of Westminster
51.514526,-0.1582027,City of Westminster
51.511735,-0.12675397,City of Westminster
51.4983,-0.1306762,City of Westminster
51.4924,-0.147612,City of Westminster
51.5016,-0.175102,City of Westminster
51.5129,-0.19012,City of Westminster
51.5134,-0.187654,City of Westminster
51.5183,-0.170879,City of Westminster
51.5189,-0.174899,City of Westminster
51.526,-0.171087,City of Westminster
51.511763,-0.12685368,City of Westminster
51.496,-0.136003,City of Westminster
51.4968,-0.140827,City of Westminster
51.4998,-0.132048,City of Westminster
51.4973,-0.125789,City of Westminster
51.5071,-0.13885,City of Westminster
51.5084,-0.133679,City of Westminster
