lat,lon,borough
51.40577459,-0.165649088,Merton
51.40562546,-0.16471048,Merton
51.40414427,-0.176033406,Merton
51.40298994,-0.175793104,Merton
51.40276841,-0.175495463,Merton
51.40343665,-0.171754671,Merton
51.400983,-0.178078433,Merton
51.40041849,-0.169676987,Merton
51.40009742,-0.169677992,Merton
51.40072822,-0.167552453,Merton
51.39374208,-0.162887853,Merton
51.39328493,-0.158369817,Merton
51.40865458,-0.158108633,Merton
51.40780728,-0.154835771,Merton
51.40646773,-0.15318369,Merton
51.40188219,-0.1475495,Merton
51.40380287,-0.137257887,Merton
51.39985057,-0.143403795,Merton
51.39998784,-0.13306116,Merton
51.43853,-0.19721,Merton
51.42952,-0.20824,Merton
51.43159,-0.19372,Merton
51.42191,-0.17443,Merton
51.4175,-0.1509,Merton
51.41138042,-0.140388058,Merton
51.4087,-0.1424,Merton
51.41279,-0.15769,Merton
51.41434718,-0.202224288,Merton
51.39249,-0.18802,Merton
51.39,-0.18871,Merton
51.40755,-0.2354,Merton
51.41458549,-0.248671243,Merton
51.42093428,-0.206482951,Merton
51.49984,-0.0995,Southwark
51.4923182,-0.09123157,Southwark
51.4772054,-0.050185208,Lewisham
51.48938619,-0.086545188,Southwark
51.4702748,-0.070007429,Southwark
51.46219,-0.06674,Southwark
51.500187,-0.10739,Southwark
51.502758,-0.09677,Southwark
51.500197,-0.09523,Southwark
51.498907,-0.10139,Southwark
51.49696,-0.10029,Southwark
51.496343,-0.09335,Southwark
51.49008,-0.08917,Southwark
51.493597,-0.03863,Southwark
51.484541,-0.09381,Southwark
51.48143,-0.08047,Southwark
51.48322,-0.06518,Southwark
51.47276,-0.09102,Southwark
51.47399,-0.06979,Southwark
51.473641,-0.05775,Southwark
51.45318,-0.07723,Southwark
51.50637,-0.103,Southwark
51.50517,-0.10375,Southwark
51.50354,-0.10584,Southwark
51.50374,-0.09955,Southwark
51.49896,-0.10372,Southwark
51.49713,-0.10846,Southwark
51.49499,-0.1025,Southwark
51.50292,-0.07965,Southwark
51.50237,-0.07623,Southwark
51.49857,-0.0628,Southwark
51.49748,-0.06328,Southwark
51.50478,-0.04585,Southwark
51.50504,-0.03648,Southwark
51.49933,-0.03488,Southwark
51.49465,-0.05858,Southwark
51.49513,-0.07605,Southwark
51.48939,-0.0969,Southwark
51.48813,-0.1055,Southwark
51.48659,-0.10219,Southwark
51.48378,-0.10387,Southwark
51.48178,-0.10013,Southwark
51.47859,-0.09772,Southwark
51.48739,-0.07572,Southwark
51.48207,-0.07511,Southwark
51.47979,-0.05977,Southwark
51.4784,-0.08426,Southwark
51.47501,-0.09212,Southwark
51.47337,-0.08547,Southwark
51.46966,-0.07718,Southwark
51.46909,-0.06752,Southwark
51.467,-0.07257,Southwark
51.46493,-0.05916,Southwark
51.46172,-0.0702,Southwark
51.46021,-0.05966,Southwark
51.45858,-0.05442,Southwark
51.45353,-0.06194,Southwark
51.45412,-0.06348,Southwark
51.45851,-0.0665,Southwark
51.45165,-0.08407,Southwark
51.4535,-0.10069,Southwark
51.44617,-0.08536,Southwark
51.45964,-0.07478,Southwark
51.43247,-0.07292,Southwark
51.44027,-0.09246,Southwark
51.42744,-0.08451,Southwark
51.42554,-0.08362,Southwark
51.44862,-0.06808,Southwark
51.449,-0.07502,Southwark
51.45299,-0.10023,Southwark
51.45661,-0.07552,Southwark
51.45806,-0.07509,Southwark
51.44867,-0.07394,Southwark
51.43132,-0.08176,Southwark
51.44463,-0.0685,Southwark
51.43624,-0.09006,Southwark
51.45409,-0.08834,Southwark
51.43472,-0.08522,Southwark
51.44137,-0.08923,Southwark
51.44979,-0.07513,Southwark
51.45618,-0.08443,Southwark
51.45752,-0.08245,Southwark
51.45416,-0.06951,Southwark
51.4659,-0.05703,Southwark
51.4664,-0.05164,Southwark
51.48226,-0.0654,Southwark
51.46730088,-0.090738565,Southwark
51.468463,-0.09527,Lambeth
51.37948,-0.24337,Sutton
51.37841,-0.24072,Sutton
51.37134,-0.22773,Sutton
51.36791,-0.21802,Sutton
51.38313,-0.20452,Sutton
51.38298,-0.19051,Sutton
51.38001,-0.19165,Sutton
51.37613,-0.19286,Sutton
51.37473,-0.19641,Sutton
51.38541,-0.17462,Sutton
51.38622,-0.15809,Sutton
51.37966,-0.15559,Sutton
51.37837,-0.15788,Sutton
51.37929,-0.16491,Sutton
51.37464,-0.17689,Sutton
